Model,FPR,TPR,AUC
Best Model (Stacking),0.0019492510772177005,0.040547945205479455,0.8396951170190871
Best Model (Stacking),0.002000547158197114,0.040547945205479455,0.8396951170190871
Best Model (Stacking),0.002000547158197114,0.04073059360730594,0.8396951170190871
Best Model (Stacking),0.002017645851856918,0.04073059360730594,0.8396951170190871
Best Model (Stacking),0.002017645851856918,0.04091324200913242,0.8396951170190871
Best Model (Stacking),0.002051843239176527,0.04091324200913242,0.8396951170190871
Best Model (Stacking),0.002051843239176527,0.0410958904109589,0.8396951170190871
Best Model (Stacking),0.002068941932836331,0.0410958904109589,0.8396951170190871
Best Model (Stacking),0.002068941932836331,0.041643835616438356,0.8396951170190871
Best Model (Stacking),0.0021373367074755487,0.041643835616438356,0.8396951170190871
Best Model (Stacking),0.0021373367074755487,0.04200913242009133,0.8396951170190871
Best Model (Stacking),0.0021715340947951575,0.04200913242009133,0.8396951170190871
Best Model (Stacking),0.0021715340947951575,0.04310502283105023,0.8396951170190871
Best Model (Stacking),0.0022057314821147663,0.04310502283105023,0.8396951170190871
Best Model (Stacking),0.0022057314821147663,0.04365296803652968,0.8396951170190871
Best Model (Stacking),0.002239928869434375,0.04365296803652968,0.8396951170190871
Best Model (Stacking),0.002239928869434375,0.043835616438356165,0.8396951170190871
Best Model (Stacking),0.0022912249504137886,0.043835616438356165,0.8396951170190871
Best Model (Stacking),0.0022912249504137886,0.04420091324200913,0.8396951170190871
Best Model (Stacking),0.002325422337733397,0.04420091324200913,0.8396951170190871
Best Model (Stacking),0.002325422337733397,0.04438356164383562,0.8396951170190871
Best Model (Stacking),0.0023596197250530058,0.04438356164383562,0.8396951170190871
Best Model (Stacking),0.0023596197250530058,0.044931506849315066,0.8396951170190871
Best Model (Stacking),0.0023938171123726146,0.044931506849315066,0.8396951170190871
Best Model (Stacking),0.0023938171123726146,0.04547945205479452,0.8396951170190871
Best Model (Stacking),0.002410915806032419,0.04547945205479452,0.8396951170190871
Best Model (Stacking),0.002410915806032419,0.045662100456621,0.8396951170190871
Best Model (Stacking),0.002445113193352028,0.045662100456621,0.8396951170190871
Best Model (Stacking),0.002445113193352028,0.04584474885844749,0.8396951170190871
Best Model (Stacking),0.002479310580671637,0.04584474885844749,0.8396951170190871
Best Model (Stacking),0.002479310580671637,0.046027397260273974,0.8396951170190871
Best Model (Stacking),0.002496409274331441,0.046027397260273974,0.8396951170190871
Best Model (Stacking),0.002496409274331441,0.046210045662100456,0.8396951170190871
Best Model (Stacking),0.0025135079679912456,0.046210045662100456,0.8396951170190871
Best Model (Stacking),0.0025135079679912456,0.04639269406392694,0.8396951170190871
Best Model (Stacking),0.00253060666165105,0.04639269406392694,0.8396951170190871
Best Model (Stacking),0.00253060666165105,0.04657534246575343,0.8396951170190871
Best Model (Stacking),0.0025477053553108545,0.04657534246575343,0.8396951170190871
Best Model (Stacking),0.0025477053553108545,0.048401826484018265,0.8396951170190871
Best Model (Stacking),0.002581902742630463,0.048401826484018265,0.8396951170190871
Best Model (Stacking),0.002581902742630463,0.04876712328767123,0.8396951170190871
Best Model (Stacking),0.0026502975172696805,0.04876712328767123,0.8396951170190871
Best Model (Stacking),0.0026502975172696805,0.04894977168949772,0.8396951170190871
Best Model (Stacking),0.002667396210929485,0.04894977168949772,0.8396951170190871
Best Model (Stacking),0.002667396210929485,0.0491324200913242,0.8396951170190871
Best Model (Stacking),0.002718692291908898,0.0491324200913242,0.8396951170190871
Best Model (Stacking),0.002718692291908898,0.049497716894977166,0.8396951170190871
Best Model (Stacking),0.0027357909855687027,0.049497716894977166,0.8396951170190871
Best Model (Stacking),0.0027357909855687027,0.05095890410958904,0.8396951170190871
Best Model (Stacking),0.002752889679228507,0.05095890410958904,0.8396951170190871
Best Model (Stacking),0.002752889679228507,0.05150684931506849,0.8396951170190871
Best Model (Stacking),0.0027699883728883115,0.05150684931506849,0.8396951170190871
Best Model (Stacking),0.0027699883728883115,0.051689497716894975,0.8396951170190871
Best Model (Stacking),0.0028212844538677245,0.051689497716894975,0.8396951170190871
Best Model (Stacking),0.0028212844538677245,0.051872146118721464,0.8396951170190871
Best Model (Stacking),0.0029067779221667463,0.051872146118721464,0.8396951170190871
Best Model (Stacking),0.0029067779221667463,0.05242009132420091,0.8396951170190871
Best Model (Stacking),0.002923876615826551,0.05242009132420091,0.8396951170190871
Best Model (Stacking),0.002923876615826551,0.05333333333333334,0.8396951170190871
Best Model (Stacking),0.002940975309486355,0.05333333333333334,0.8396951170190871
Best Model (Stacking),0.002940975309486355,0.0536986301369863,0.8396951170190871
Best Model (Stacking),0.0029922713904657686,0.0536986301369863,0.8396951170190871
Best Model (Stacking),0.0029922713904657686,0.054063926940639266,0.8396951170190871
Best Model (Stacking),0.0030093700841255728,0.054063926940639266,0.8396951170190871
Best Model (Stacking),0.0030093700841255728,0.054246575342465755,0.8396951170190871
Best Model (Stacking),0.0030435674714451816,0.054246575342465755,0.8396951170190871
Best Model (Stacking),0.0030435674714451816,0.05442922374429224,0.8396951170190871
Best Model (Stacking),0.003111962246084399,0.05442922374429224,0.8396951170190871
Best Model (Stacking),0.003111962246084399,0.0547945205479452,0.8396951170190871
Best Model (Stacking),0.0031290609397442034,0.0547945205479452,0.8396951170190871
Best Model (Stacking),0.0031290609397442034,0.055342465753424656,0.8396951170190871
Best Model (Stacking),0.003146159633404008,0.055342465753424656,0.8396951170190871
Best Model (Stacking),0.003146159633404008,0.05570776255707763,0.8396951170190871
Best Model (Stacking),0.003163258327063812,0.05570776255707763,0.8396951170190871
Best Model (Stacking),0.003163258327063812,0.05607305936073059,0.8396951170190871
Best Model (Stacking),0.00323165310170303,0.05607305936073059,0.8396951170190871
Best Model (Stacking),0.00323165310170303,0.056438356164383564,0.8396951170190871
Best Model (Stacking),0.0032658504890226386,0.056438356164383564,0.8396951170190871
Best Model (Stacking),0.0032658504890226386,0.05662100456621005,0.8396951170190871
Best Model (Stacking),0.0033000478763422474,0.05662100456621005,0.8396951170190871
Best Model (Stacking),0.0033000478763422474,0.05680365296803653,0.8396951170190871
Best Model (Stacking),0.003317146570002052,0.05680365296803653,0.8396951170190871
Best Model (Stacking),0.003317146570002052,0.05698630136986301,0.8396951170190871
Best Model (Stacking),0.0033342452636618562,0.05698630136986301,0.8396951170190871
Best Model (Stacking),0.0033342452636618562,0.0571689497716895,0.8396951170190871
Best Model (Stacking),0.0033513439573216604,0.0571689497716895,0.8396951170190871
Best Model (Stacking),0.0033513439573216604,0.05771689497716895,0.8396951170190871
Best Model (Stacking),0.003368442650981465,0.05771689497716895,0.8396951170190871
Best Model (Stacking),0.003368442650981465,0.05789954337899544,0.8396951170190871
Best Model (Stacking),0.0033855413446412692,0.05789954337899544,0.8396951170190871
Best Model (Stacking),0.0033855413446412692,0.0582648401826484,0.8396951170190871
Best Model (Stacking),0.003419738731960878,0.0582648401826484,0.8396951170190871
Best Model (Stacking),0.003419738731960878,0.058447488584474884,0.8396951170190871
Best Model (Stacking),0.0034368374256206827,0.058447488584474884,0.8396951170190871
Best Model (Stacking),0.0034368374256206827,0.05863013698630137,0.8396951170190871
Best Model (Stacking),0.003453936119280487,0.05863013698630137,0.8396951170190871
Best Model (Stacking),0.003453936119280487,0.058812785388127856,0.8396951170190871
Best Model (Stacking),0.0034881335066000957,0.058812785388127856,0.8396951170190871
Best Model (Stacking),0.0034881335066000957,0.05899543378995434,0.8396951170190871
Best Model (Stacking),0.0035223308939197045,0.05899543378995434,0.8396951170190871
Best Model (Stacking),0.0035223308939197045,0.0593607305936073,0.8396951170190871
Best Model (Stacking),0.003539429587579509,0.0593607305936073,0.8396951170190871
Best Model (Stacking),0.003539429587579509,0.05954337899543379,0.8396951170190871
Best Model (Stacking),0.0035565282812393133,0.05954337899543379,0.8396951170190871
